interaction_index,actual_timestamp,inter_arrival_time
0,1472738.0,0.0
1,1472776.0,38.0
2,1475316.0,2540.0
3,1475424.0,108.0
4,1475531.0,107.0
5,1475666.0,135.0
6,1475789.0,123.0
7,1475960.0,171.0
8,1476043.0,83.0
9,1476093.0,50.0
10,1476259.0,166.0
11,1476375.0,116.0
12,1478762.0,2387.0
13,1479752.0,990.0
14,1492054.0,12302.0
15,1492166.0,112.0
16,1492217.0,51.0
17,1492265.0,48.0
18,1492280.0,15.0
19,1492317.0,37.0
20,1492868.0,551.0
21,1492902.0,34.0
22,1492955.0,53.0
23,1492979.0,24.0
24,1493163.0,184.0
25,1493211.0,48.0
26,1493343.0,132.0
27,1493369.0,26.0
28,1493869.0,500.0
29,1494087.0,218.0
30,1494208.0,121.0
31,1494443.0,235.0
32,1494516.0,73.0
33,1494582.0,66.0
34,1494687.0,105.0
35,1495122.0,435.0
36,1495267.0,145.0
37,1495621.0,354.0
38,1495724.0,103.0
39,1495827.0,103.0
40,1495983.0,156.0
41,1496025.0,42.0
42,1498924.0,2899.0
43,1499117.0,193.0
44,1499250.0,133.0
45,1499290.0,40.0
46,1499503.0,213.0
47,1499622.0,119.0
48,1499665.0,43.0
49,1499884.0,219.0
50,1500006.0,122.0
51,1500156.0,150.0
52,1500430.0,274.0
53,1500923.0,493.0
54,1501225.0,302.0
55,1501329.0,104.0
56,1501471.0,142.0
57,1501540.0,69.0
58,1501672.0,132.0
59,1501819.0,147.0
60,1502169.0,350.0
61,1502215.0,46.0
62,1502347.0,132.0
63,1502458.0,111.0
64,1502584.0,126.0
65,1502815.0,231.0
66,1503393.0,578.0
67,1503479.0,86.0
68,1503587.0,108.0
69,1503629.0,42.0
70,1503772.0,143.0
71,1504007.0,235.0
72,1504166.0,159.0
73,1504378.0,212.0
74,1504818.0,440.0
75,1506046.0,1228.0
76,1507337.0,1291.0
77,1507610.0,273.0
78,1507928.0,318.0
79,1508053.0,125.0
80,1508190.0,137.0
81,1508292.0,102.0
82,1508399.0,107.0
83,1508723.0,324.0
84,1508876.0,153.0
85,1508904.0,28.0
86,1508998.0,94.0
87,1509051.0,53.0
88,1509085.0,34.0
89,1509554.0,469.0
90,1510731.0,1177.0
91,1510877.0,146.0
92,1510986.0,109.0
93,1511035.0,49.0
94,1511206.0,171.0
95,1511483.0,277.0
96,1511543.0,60.0
97,1511739.0,196.0
98,1511991.0,252.0
99,1512051.0,60.0
100,1512138.0,87.0
101,1512610.0,472.0
102,1512760.0,150.0
103,1567023.0,54263.0
104,1568608.0,1585.0
105,1568798.0,190.0
106,1568831.0,33.0
107,1568912.0,81.0
108,1569208.0,296.0
109,1569529.0,321.0
110,1570648.0,1119.0
111,1570710.0,62.0
112,1570760.0,50.0
113,1570832.0,72.0
114,1570896.0,64.0
115,1571230.0,334.0
116,1571302.0,72.0
117,1571378.0,76.0
118,1571423.0,45.0
119,1574022.0,2599.0
120,1574180.0,158.0
121,1574203.0,23.0
122,1574255.0,52.0
123,1574298.0,43.0
124,1578984.0,4686.0
125,1579099.0,115.0
126,1579175.0,76.0
127,1579250.0,75.0
128,1579365.0,115.0
129,1579436.0,71.0
130,1579533.0,97.0
131,1579626.0,93.0
132,1579672.0,46.0
133,1579759.0,87.0
134,1579955.0,196.0
135,1580251.0,296.0
136,1580527.0,276.0
137,1580799.0,272.0
138,1581239.0,440.0
139,1581805.0,566.0
140,1581950.0,145.0
141,1581975.0,25.0
142,1582014.0,39.0
143,1582199.0,185.0
144,1582317.0,118.0
145,1582536.0,219.0
146,1582598.0,62.0
147,1582749.0,151.0
148,1582834.0,85.0
149,1582902.0,68.0
150,1583361.0,459.0
151,1583449.0,88.0
152,1583532.0,83.0
153,1583616.0,84.0
154,1583633.0,17.0
155,1583836.0,203.0
156,1584259.0,423.0
157,1584328.0,69.0
158,1584367.0,39.0
159,1584437.0,70.0
160,1584471.0,34.0
161,1585114.0,643.0
162,1585220.0,106.0
163,1585567.0,347.0
164,1585778.0,211.0
165,1586180.0,402.0
166,1586238.0,58.0
167,1588558.0,2320.0
168,1589291.0,733.0
169,1590422.0,1131.0
170,1591545.0,1123.0
171,1650738.0,59193.0
172,1650769.0,31.0
173,1652773.0,2004.0
174,1731245.0,78472.0
175,1750352.0,19107.0
176,1750382.0,30.0
177,1940085.0,189703.0
178,1941161.0,1076.0
179,1941209.0,48.0
180,1942020.0,811.0
181,1942382.0,362.0
182,1943584.0,1202.0
183,1943651.0,67.0
184,1943687.0,36.0
185,1943738.0,51.0
186,1943851.0,113.0
187,1943875.0,24.0
188,1947716.0,3841.0
189,1948790.0,1074.0
190,1948932.0,142.0
191,1949404.0,472.0
192,1953373.0,3969.0
193,1953510.0,137.0
194,1953617.0,107.0
195,1955290.0,1673.0
196,1955333.0,43.0
197,1955373.0,40.0
198,1988017.0,32644.0
199,1989467.0,1450.0
200,1989708.0,241.0
201,2070490.0,80782.0
202,2070512.0,22.0
203,2110950.0,40438.0
204,2110986.0,36.0
205,2111011.0,25.0
206,2227924.0,116913.0
207,2650464.0,422540.0
208,2650567.0,103.0
