dataset,model,final_loss,converged,convergence_epoch,mse,mae,rmse,r2_score,training_config
Periodic,B-Spline Expert,0.004088651854544878,False,2000,0.0040847426280379295,0.05083492398262024,0.06391198933124542,0.9959070715971127,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,Fourier Expert,0.7916380763053894,False,2000,0.7912328243255615,0.7146289944648743,0.8895127177238464,0.20718151390671968,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,Wavelet Expert,0.016043921932578087,True,1372,0.006295200437307358,0.0635792687535286,0.0793422982096672,0.9936921840201399,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,K-MOTE,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,Original,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,Mercer,0.001711340039037168,True,1165,0.0017111876513808966,0.03289482742547989,0.04136650264263153,0.998285383165241,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,Time2Vec,0.0019595352932810783,False,2000,0.001978958258405328,0.03538046032190323,0.044485483318567276,0.9980170757832652,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Periodic,LeTE,0.09791404753923416,True,1395,0.12357275933027267,0.2660510241985321,0.35152918100357056,0.8761795976596748,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,B-Spline Expert,0.046227455139160156,False,2000,0.04624186083674431,0.1254248470067978,0.2150392085313797,0.9536654686732761,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,Fourier Expert,0.7274330854415894,False,2000,0.7273914217948914,0.6722780466079712,0.8528724312782288,0.27115083873501633,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,Wavelet Expert,0.11078471690416336,False,2000,0.09756232798099518,0.21735779941082,0.31234967708587646,0.9022421538170429,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,K-MOTE,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,Original,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,Mercer,0.02034374326467514,False,2000,0.020342690870165825,0.09170348197221756,0.1426278054714203,0.979616540415214,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,Time2Vec,0.02217995561659336,False,2000,0.02230587787926197,0.08905163407325745,0.14935152232646942,0.9776494197898616,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Non-Periodic,LeTE,0.4088385999202728,False,2000,0.4115414619445801,0.47706785798072815,0.6415149569511414,0.5876337689804516,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,B-Spline Expert,0.024063846096396446,False,2000,0.02405683882534504,0.1207113191485405,0.1551026701927185,0.975894952386771,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,Fourier Expert,0.7482761740684509,False,2000,0.748274564743042,0.6950010061264038,0.8650286793708801,0.2502259615528688,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,Wavelet Expert,0.03377371281385422,True,1799,0.02217782847583294,0.1126992404460907,0.14892221987247467,0.9777777289792152,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,K-MOTE,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,Original,inf,False,2000,inf,inf,inf,-1.0,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,Mercer,0.005047277547419071,False,2000,0.005046510603278875,0.05212710425257683,0.07103879749774933,0.9949433763649506,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,Time2Vec,0.005108751356601715,False,2000,0.005159876774996519,0.05114870145916939,0.07183228433132172,0.9948297830582562,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
Mixed,LeTE,0.24333997070789337,False,2000,0.24436603486537933,0.33672571182250977,0.4943339228630066,0.7551442756641044,"{'learning_rate': 0.001, 'patience': 200, 'min_delta': 1e-06, 'max_epochs': 2000, 'weight_decay': 0.0001, 'grad_clip_norm': 1.0}"
