model,dataset,encoder,neg_strategy,new_node_test_average_precision,new_node_test_roc_auc,test_average_precision,test_roc_auc
TGN,UNvote,kan_mammote_dual_kmote,random,0.5601,0.5706,0.5897,0.6024
TGN,UNvote,kan_mammote_dual_kmote,historical,0.5833,0.6057,0.6229,0.655
TGN,UNvote,kan_mammote_dual_kmote,inductive,0.5804,0.6029,0.5946,0.6053
TGN,USLegis,kan_mammote_dual_kmote,random,0.6188,0.6119,0.7944,0.8347
TGN,USLegis,kan_mammote_dual_kmote,historical,0.571,0.593,0.8678,0.9113
TGN,USLegis,kan_mammote_dual_kmote,inductive,0.571,0.593,0.8533,0.8998
TGN,mooc,kan_mammote_dual_kmote,random,0.7775,0.7976,0.7836,0.7993
TGN,mooc,kan_mammote_dual_kmote,historical,0.6553,0.6685,0.7293,0.7576
TGN,mooc,kan_mammote_dual_kmote,inductive,0.6552,0.6685,0.6051,0.5999
TGN,uci,kan_mammote_dual_kmote,random,0.8351,0.7986,0.8912,0.8737
TGN,uci,kan_mammote_dual_kmote,historical,0.8159,0.7722,0.8665,0.818
TGN,uci,kan_mammote_dual_kmote,inductive,0.8162,0.7726,0.8015,0.7644
