encoder,best_val_acc,final_train_acc,final_val_acc,num_epochs,status
lstm_only,96.47,100.0,96.41,200,SUCCESS
sm_kernel_only,84.27,98.27666666666667,81.07,200,SUCCESS
kmote_abs_only,97.19,99.56666666666666,96.55,200,SUCCESS
kmote_rel_only,97.38,99.925,97.01,200,SUCCESS
dual_stream_baseline,83.95,97.94833333333334,81.29,200,SUCCESS
kan_mammote_lite,85.61,98.77333333333333,84.73,200,SUCCESS
kan_mammote_full,97.68,99.76666666666667,97.52,200,SUCCESS
lete,95.5,97.34,95.01,200,SUCCESS
mercer,96.75,99.82166666666667,96.54,200,SUCCESS
bochner,96.76,99.92333333333333,96.65,200,SUCCESS
kan_mammote_dual_kmote,97.82,99.74833333333333,97.53,200,SUCCESS
kan_mammote_lite_concat,93.56,98.865,93.3,200,SUCCESS
kan_mammote_lite_weighted,93.58,98.975,93.23,200,SUCCESS
kan_mammote_lite_attention,77.61,85.07166666666667,76.41,200,SUCCESS
