encoder,best_val_acc,final_train_acc,final_val_acc,num_epochs,status
k_mote_shared_abs,95.66,98.685,94.98,200,SUCCESS
k_mote_per_expert_abs,95.18,96.72833333333334,94.85,200,SUCCESS
k_mote_adapter_affine_abs,94.13,97.45333333333333,92.87,200,SUCCESS
k_mote_adapter_linear_abs,93.18,93.63833333333334,88.82,200,SUCCESS
k_mote_shared_rel,97.84,99.725,97.63,200,SUCCESS
k_mote_per_expert_rel,97.86,100.0,97.82,200,SUCCESS
k_mote_adapter_affine_rel,97.73,99.98666666666666,97.58,200,SUCCESS
k_mote_adapter_linear_rel,97.77,99.94333333333333,97.7,200,SUCCESS
lete,97.44,99.49833333333333,97.07,200,SUCCESS
lete_relative,97.6,100.0,97.52,200,SUCCESS
