epoch,loss,average_precision,roc_auc
1,0.4321592463393649,0.7963404734837048,0.8523697703034473
2,0.38526820772756576,0.8408870753248301,0.8877883032831105
3,0.3826022295875152,0.8422251817522016,0.886680754142005
4,0.3634355239915532,0.8575308891950095,0.8990439214758751
5,0.3459661953581203,0.8684247971969954,0.9082051729125781
6,0.33894090898609885,0.8724192573329708,0.9112908271890662
7,0.33533343882806593,0.8761421128888972,0.9130526744176956
8,0.33262281499048846,0.8768208741847776,0.9142091981242719
9,0.33011736003937536,0.8797726658580045,0.9158861330797439
10,0.32608994459530716,0.8836973806873105,0.9180456197174289
11,0.3245701635205306,0.8844047989984798,0.9189326952547754
12,0.321257550998916,0.8862089522944644,0.9201304440291799
13,0.32014688193910845,0.8886589618969687,0.9211074328365795
14,0.32139435411909334,0.8864180530286481,0.9200991977919732
