epoch,loss,average_precision,roc_auc
1,0.6602477620287639,0.6577323813214431,0.708946174431035
2,0.5858010540648204,0.6941592461397145,0.7610805146472746
3,0.570689031990563,0.7191260496370853,0.768942862266858
4,0.557207885311871,0.7398714479859057,0.7851016426608902
5,0.5452649397094075,0.763308138568228,0.8008034747423599
6,0.5106849946626802,0.8064859176766196,0.8293174721729917
7,0.4912147253024869,0.8292704955050576,0.8454003216398944
8,0.47201335430145264,0.8460706696464473,0.8600158703031666
9,0.43999186158180237,0.8739858073250707,0.8824917480143659
10,0.42892314966132,0.8834782021567257,0.8898573998274585
