epoch,loss,average_precision,roc_auc
1,0.6458175109653939,0.686890138169778,0.7322060412974373
2,0.5738553688293551,0.7358041588557387,0.7765311742200468
3,0.5592863603336055,0.7421919912787538,0.7838608493684417
4,0.5121764155422769,0.7975420487135365,0.8255807126246004
5,0.4903171978345731,0.8241022282062029,0.8451983650753463
6,0.4671648951565347,0.8485804960222837,0.8648151920930974
7,0.4444117233520601,0.8671988254117138,0.8795386495344193
8,0.432748044409403,0.8755033013959519,0.8878562091503268
9,0.409778843565685,0.8942209493633002,0.9025500178167872
10,0.40296267663560265,0.895243947683621,0.903221352012828
