epoch,loss,average_precision,roc_auc
1,0.6865197899864941,0.5791905971278414,0.6155166972599656
2,0.6322188958889101,0.5997050702614878,0.6540063250766592
3,0.6031862446447698,0.6540299478252097,0.7059490754025188
4,0.5732782650284651,0.7182365207561594,0.7662972552770511
5,0.5325345520566149,0.7798014016980757,0.8134852587185042
6,0.47980337898905684,0.8299889774714444,0.8541543181093577
7,0.4549030494399187,0.8544481040445097,0.8732078947121651
8,0.43814995957583913,0.8622647661363706,0.8821782449995781
9,0.4227041195078594,0.8732132226903008,0.8928045664894365
10,0.407727573702975,0.8842333609487307,0.9014141474667342
