Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
DyGFormer_positive_embeddings,0,0,0,0,1.03515625,0.00020088153183739355,0
DyGFormer_positive_embeddings,1,0,0,0,0.78125,0.00015160870327346476,0
DyGFormer_positive_embeddings,2,0,0,0,0.78125,0.00015160870327346476,0
DyGFormer_positive_embeddings,3,0,0,0,0.78125,0.00015160870327340925,0
DyGFormer_positive_embeddings,4,0,0,0,0.765625,0.0001485765292079111,0
DyGFormer_positive_embeddings,5,0,0,0,0.765625,0.00014857652920807762,0
DyGFormer_positive_embeddings,6,0,0,0,0.765625,0.00014857652920807762,0
DyGFormer_positive_embeddings,7,0,0,0,0.5703125,0.00011067435338968368,0
DyGFormer_positive_embeddings,8,0,0,0,0.734375,0.0001425121810770258,0
DyGFormer_positive_embeddings,9,0,0,0,0.515625,0.00010006174416049562,0
DyGFormer_negative_embeddings,0,0,0,0,7.09375,0.0013766070257231755,0
DyGFormer_negative_embeddings,1,0,0,0,6.98046875,0.0013546237637485636,0
DyGFormer_negative_embeddings,2,0,0,0,5.125,0.0009945530934740154,0
DyGFormer_negative_embeddings,3,0,0,0,3.171875,0.0006155313352903535,0
DyGFormer_negative_embeddings,4,0,0,0,4.91796875,0.0009543767871066366,0
DyGFormer_negative_embeddings,5,0,0,0,4.12890625,0.0008012519968002563,0
DyGFormer_negative_embeddings,6,0,0,0,5.15234375,0.000999859398088554,0
DyGFormer_negative_embeddings,7,0,0,0,5.3203125,0.0010324552692923539,0
DyGFormer_negative_embeddings,8,0,0,0,6.15625,0.0011946765817950622,0
DyGFormer_negative_embeddings,9,0,0,0,4.421875,0.0008581052605279305,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.11328125,2.1983261974556356e-05,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.22265625,4.320848043293246e-05,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.01953125,3.7902175818449457e-06,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.02734375,5.306304614649537e-06,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,1.2578125,0.000244090012270326,0
backward_pass,1,0,0,0,-0.2421875,-4.6998698014721896e-05,0
backward_pass,2,0,0,0,-2.19140625,-0.00042526241268209253,0
backward_pass,3,0,0,0,-4.51953125,-0.0008770563484369887,0
backward_pass,4,0,0,0,-4.21875,-0.0008186869976768429,0
backward_pass,5,0,0,0,-5.39453125,-0.0010468580961034424,0
backward_pass,6,0,0,0,-5.90625,-0.0011461617967475357,0
backward_pass,7,0,0,0,-6.875,-0.0013341565888065898,0
backward_pass,8,0,0,0,-4.921875,-0.0009551348306229834,0
backward_pass,9,0,0,0,-3.9375,-0.0007641078644982646,0
