Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
DyGFormer_positive_embeddings,0,0,0,0,0.453125,8.793304789855849e-05,0
DyGFormer_positive_embeddings,1,0,0,0,0.453125,8.793304789844747e-05,0
DyGFormer_positive_embeddings,2,0,0,0,0.44921875,8.71750043821562e-05,0
DyGFormer_positive_embeddings,3,0,0,0,0.00390625,7.580435165133181e-07,0
DyGFormer_positive_embeddings,4,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,5,0,0,0,0.00390625,7.580435165133181e-07,0
DyGFormer_positive_embeddings,6,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,7,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,8,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,9,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,0,0,0,0,6.4921875,0.001259868324202662,0
DyGFormer_negative_embeddings,1,0,0,0,6.4765625,0.0012568361501371639,0
DyGFormer_negative_embeddings,2,0,0,0,5.4921875,0.001065809184012556,0
DyGFormer_negative_embeddings,3,0,0,0,2.86328125,0.0005556458974972367,0
DyGFormer_negative_embeddings,4,0,0,0,2.96875,0.0005761130724392105,0
DyGFormer_negative_embeddings,5,0,0,0,2.953125,0.0005730808983737123,0
DyGFormer_negative_embeddings,6,0,0,0,2.0,0.00038811828037998986,0
DyGFormer_negative_embeddings,7,0,0,0,0.984375,0.00019102696612449677,0
DyGFormer_negative_embeddings,8,0,0,0,0.40234375,7.807848218588376e-05,0
DyGFormer_negative_embeddings,9,0,0,0,0.0,0.0,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.00390625,7.580435162912735e-07,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.10546875,2.0467174941862787e-05,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,2.51953125,0.0004889380680569433,0
backward_pass,1,0,0,0,-2.234375,-0.0004336008913620182,0
backward_pass,2,0,0,0,0.05859375,1.1370652745479326e-05,0
backward_pass,3,0,0,0,-2.109375,-0.00040934349883836596,0
backward_pass,4,0,0,0,-2.8203125,-0.0005473074188173666,0
backward_pass,5,0,0,0,-1.9140625,-0.0003714413230200275,0
backward_pass,6,0,0,0,0.69921875,0.00013568978942990473,0
backward_pass,7,0,0,0,1.91015625,0.00037068327950373625,0
backward_pass,8,0,0,0,0.84375,0.00016373739953523536,0
backward_pass,9,0,0,0,0.80859375,0.0001569150078881698,0
