Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
DyGFormer_positive_embeddings,0,0,0,0,1.37109375,0.0002660732742449934,0
DyGFormer_positive_embeddings,1,0,0,0,0.80078125,0.0001553989208552542,0
DyGFormer_positive_embeddings,2,0,0,0,0.62109375,0.00012052891910241392,0
DyGFormer_positive_embeddings,3,0,0,0,0.01171875,2.274130548984843e-06,0
DyGFormer_positive_embeddings,4,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,5,0,0,0,0.0078125,1.5160870326935694e-06,0
DyGFormer_positive_embeddings,6,0,0,0,0.00390625,7.580435162912735e-07,0
DyGFormer_positive_embeddings,7,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,8,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,9,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,0,0,0,0,7.59765625,0.0014743946393345198,0
DyGFormer_negative_embeddings,1,0,0,0,5.15234375,0.000999859398088665,0
DyGFormer_negative_embeddings,2,0,0,0,3.2578125,0.0006322082926504269,0
DyGFormer_negative_embeddings,3,0,0,0,3.0078125,0.0005836935076029004,0
DyGFormer_negative_embeddings,4,0,0,0,1.01953125,0.00019784935777189538,0
DyGFormer_negative_embeddings,5,0,0,0,0.53125,0.0001030939182260493,0
DyGFormer_negative_embeddings,6,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,7,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,8,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,9,0,0,0,0.0,0.0,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.046875,9.096522196272439e-06,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.1328125,2.5773479556456813e-05,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,3.5546875,0.0006898195998944479,0
backward_pass,1,0,0,0,4.84375,0.0009399739602956592,0
backward_pass,2,0,0,0,-0.52734375,-0.00010233587470953598,0
backward_pass,3,0,0,0,2.5390625,0.0004927282856388437,0
backward_pass,4,0,0,0,2.3828125,0.0004624065449840842,0
backward_pass,5,0,0,0,1.9765625,0.00038357001928190915,0
backward_pass,6,0,0,0,0.06640625,1.2886739778283918e-05,0
backward_pass,7,0,0,0,1.79296875,0.00034794197401255555,0
backward_pass,8,0,0,0,0.0,0.0,0
backward_pass,9,0,0,0,0.00390625,7.580435164022958e-07,0
