Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
DyGFormer_positive_embeddings,0,0,0,0,0.19921875,3.866021933479624e-05,0
DyGFormer_positive_embeddings,1,0,0,0,0.07421875,1.4402826810977487e-05,0
DyGFormer_positive_embeddings,2,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,3,0,0,0,0.04296875,8.338478680036676e-06,0
DyGFormer_positive_embeddings,4,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,5,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,6,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,7,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,8,0,0,0,0.0,0.0,0
DyGFormer_positive_embeddings,9,0,0,0,0.0,0.0,0
DyGFormer_negative_embeddings,0,0,0,0,6.93359375,0.0013455272415520136,0
DyGFormer_negative_embeddings,1,0,0,0,4.9296875,0.000956650917655677,0
DyGFormer_negative_embeddings,2,0,0,0,3.98828125,0.0007739624302111614,0
DyGFormer_negative_embeddings,3,0,0,0,1.94140625,0.00037674762763456604,0
DyGFormer_negative_embeddings,4,0,0,0,1.015625,0.0001970913142554931,0
DyGFormer_negative_embeddings,5,0,0,0,2.953125,0.0005730808983737123,0
DyGFormer_negative_embeddings,6,0,0,0,2.0,0.0003881182803801564,0
DyGFormer_negative_embeddings,7,0,0,0,2.99609375,0.00058141937705386,0
DyGFormer_negative_embeddings,8,0,0,0,1.828125,0.0003547643656600097,0
DyGFormer_negative_embeddings,9,0,0,0,2.01953125,0.0003919084979618348,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.015625,3.032174065498161e-06,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.02734375,5.306304614538515e-06,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.046875,9.096522196438972e-06,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.171875,3.3353914720146705e-05,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,4.18359375,0.0008118646060294443,0
backward_pass,1,0,0,0,-0.578125,-0.00011219044042237725,0
backward_pass,2,0,0,0,-1.78515625,-0.0003464258869799175,0
backward_pass,3,0,0,0,-0.55859375,-0.0001084002228405323,0
backward_pass,4,0,0,0,-2.65234375,-0.0005147115476134001,0
backward_pass,5,0,0,0,-1.72265625,-0.0003342971907180359,0
backward_pass,6,0,0,0,-2.7578125,-0.0005351787225554849,0
backward_pass,7,0,0,0,-1.65234375,-0.00032065240742340517,0
backward_pass,8,0,0,0,-1.8984375,-0.00036840914895452936,0
backward_pass,9,0,0,0,-1.94140625,-0.00037674762763451053,0
