Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
JODIE_negative_embeddings,0,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,1,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,2,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,3,0,0,0,0.0,7.580435163467847e-07,0
JODIE_negative_embeddings,4,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,5,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,6,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,7,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,8,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,9,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,0,0,0,0,3.59765625,0.0006981580785743735,0
JODIE_positive_embeddings,1,0,0,0,1.984375,0.00038508610631465823,0
JODIE_positive_embeddings,2,0,0,0,1.98828125,0.000385844149831005,0
JODIE_positive_embeddings,3,0,0,0,1.01171875,0.00019633327073920182,0
JODIE_positive_embeddings,4,0,0,0,0.5859375,0.00011370652745507082,0
JODIE_positive_embeddings,5,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,6,0,0,0,0.01953125,3.7902175817894346e-06,0
JODIE_positive_embeddings,7,0,0,0,0.00390625,7.580435163467847e-07,0
JODIE_positive_embeddings,8,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,9,0,0,0,0.0,0.0,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0859375,1.6676957360073352e-05,0
prediction_forward,2,0,0,0,0.0078125,1.5160870326935694e-06,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0078125,1.5160870327490805e-06,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.00390625,7.580435164022958e-07,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.00390625,7.580435164022958e-07,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.00390625,7.580435163467847e-07,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,0.18359375,3.562804526924257e-05,0
backward_pass,1,0,0,0,0.0390625,7.58043516363438e-06,0
backward_pass,2,0,0,0,0.01171875,2.2741305491513764e-06,0
backward_pass,3,0,0,0,0.0,0.0,0
backward_pass,4,0,0,0,0.015625,3.032174065498161e-06,0
backward_pass,5,0,0,0,0.0,0.0,0
backward_pass,6,0,0,0,0.0,0.0,0
backward_pass,7,0,0,0,0.0,0.0,0
backward_pass,8,0,0,0,0.00390625,7.580435164022958e-07,0
backward_pass,9,0,0,0,0.0,0.0,0
