Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
JODIE_negative_embeddings,0,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,1,0,0,0,0.01171875,2.2741305492068875e-06,0
JODIE_negative_embeddings,2,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,3,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,4,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,5,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,6,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,7,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,8,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,9,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,0,0,0,0,2.78125,0.0005397269836535656,0
JODIE_positive_embeddings,1,0,0,0,2.06640625,0.00040100502015827377,0
JODIE_positive_embeddings,2,0,0,0,0.99609375,0.00019330109667370365,0
JODIE_positive_embeddings,3,0,0,0,1.98828125,0.000385844149831005,0
JODIE_positive_embeddings,4,0,0,0,0.98828125,0.00019178500964101008,0
JODIE_positive_embeddings,5,0,0,0,0.33984375,6.594978592400214e-05,0
JODIE_positive_embeddings,6,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,7,0,0,0,0.0078125,1.5160870328045917e-06,0
JODIE_positive_embeddings,8,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,9,0,0,0,-0.40234375,-7.807848218577274e-05,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.01171875,2.274130549095865e-06,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0078125,1.5160870328045917e-06,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0234375,4.54826109819173e-06,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,0.109375,2.1225218458265083e-05,0
backward_pass,1,0,0,0,0.0234375,4.54826109819173e-06,0
backward_pass,2,0,0,0,0.0234375,4.54826109819173e-06,0
backward_pass,3,0,0,0,0.0234375,4.54826109819173e-06,0
backward_pass,4,0,0,0,0.0078125,1.5160870326935694e-06,0
backward_pass,5,0,0,0,0.0,0.0,0
backward_pass,6,0,0,0,0.0,0.0,0
backward_pass,7,0,0,0,0.0,0.0,0
backward_pass,8,0,0,0,0.00390625,7.580435162912735e-07,0
backward_pass,9,0,0,0,4.38671875,0.0008512828688804763,0
