Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
JODIE_negative_embeddings,0,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,1,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,2,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,3,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,4,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,5,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,6,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,7,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,8,0,0,0,0.0,0.0,0
JODIE_negative_embeddings,9,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,0,0,0,0,3.55078125,0.00068906155637799,0
JODIE_positive_embeddings,1,0,0,0,2.07421875,0.0004025211071911339,0
JODIE_positive_embeddings,2,0,0,0,1.0,0.00019405914019005044,0
JODIE_positive_embeddings,3,0,0,0,1.0,0.00019405914018999493,0
JODIE_positive_embeddings,4,0,0,0,0.77734375,0.00015085065975711798,0
JODIE_positive_embeddings,5,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,6,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,7,0,0,0,0.0,0.0,0
JODIE_positive_embeddings,8,0,0,0,0.0234375,4.5482610982472416e-06,0
JODIE_positive_embeddings,9,0,0,0,0.0,0.0,0
prediction_forward,0,0,0,0,0.23828125,4.624065449837511e-05,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.03125,6.064348130940811e-06,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0078125,1.5160870327490805e-06,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.015625,3.03217406544265e-06,0
loss_computation,4,0,0,0,0.01171875,2.2741305491513764e-06,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,0.0,0.0,0
backward_pass,1,0,0,0,0.0546875,1.061260922907703e-05,0
backward_pass,2,0,0,0,0.01171875,2.2741305491513764e-06,0
backward_pass,3,0,0,0,0.015625,3.032174065498161e-06,0
backward_pass,4,0,0,0,0.00390625,7.580435162912735e-07,0
backward_pass,5,0,0,0,0.0,0.0,0
backward_pass,6,0,0,0,0.0,0.0,0
backward_pass,7,0,0,0,0.0,0.0,0
backward_pass,8,0,0,0,0.0234375,4.54826109819173e-06,0
backward_pass,9,0,0,0,0.03515625,6.822391647287596e-06,0
