Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TCL_positive_embeddings,0,0,0,0,0.26953125,5.230500262937143e-05,0
TCL_positive_embeddings,1,0,0,0,2.23828125,0.0004343589348784205,0
TCL_positive_embeddings,2,0,0,0,0.25390625,4.927282856387327e-05,0
TCL_positive_embeddings,3,0,0,0,1.12109375,0.0002175584891974669,0
TCL_positive_embeddings,4,0,0,0,0.0,0.0,0
TCL_positive_embeddings,5,0,0,0,0.18359375,3.562804526924257e-05,0
TCL_positive_embeddings,6,0,0,0,0.0,0.0,0
TCL_positive_embeddings,7,0,0,0,0.0,0.0,0
TCL_positive_embeddings,8,0,0,0,0.0,0.0,0
TCL_positive_embeddings,9,0,0,0,0.0,0.0,0
TCL_negative_embeddings,0,0,0,0,7.6015625,0.0014751526828508665,0
TCL_negative_embeddings,1,0,0,0,7.6015625,0.001475152682851033,0
TCL_negative_embeddings,2,0,0,0,7.62109375,0.0014789429004328225,0
TCL_negative_embeddings,3,0,0,0,7.73828125,0.0015016842059237812,0
TCL_negative_embeddings,4,0,0,0,6.88671875,0.0013364307193557412,0
TCL_negative_embeddings,5,0,0,0,7.45703125,0.0014471050727453694,0
TCL_negative_embeddings,6,0,0,0,6.75390625,0.0013106572397992289,0
TCL_negative_embeddings,7,0,0,0,6.796875,0.0013189957184792656,0
TCL_negative_embeddings,8,0,0,0,6.88671875,0.0013364307193556857,0
TCL_negative_embeddings,9,0,0,0,6.71875,0.0013038348481518858,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.25,4.8514785047470976e-05,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.00390625,7.58043516457807e-07,0
loss_computation,9,0,0,0,0.1875,3.6386088785644866e-05,0
backward_pass,0,0,0,0,-0.8359375,-0.0001622213125025973,0
backward_pass,1,0,0,0,-6.87890625,-0.0013349146323229921,0
backward_pass,2,0,0,0,-8.79296875,-0.0017063559553430196,0
backward_pass,3,0,0,0,-6.69140625,-0.0012985285435373473,0
backward_pass,4,0,0,0,-7.85546875,-0.0015244255114147953,0
backward_pass,5,0,0,0,-6.85546875,-0.0013303663712247449,0
backward_pass,6,0,0,0,-6.75390625,-0.0013106572397992289,0
backward_pass,7,0,0,0,-6.796875,-0.0013189957184792656,0
backward_pass,8,0,0,0,-6.88671875,-0.0013364307193557412,0
backward_pass,9,0,0,0,-7.875,-0.0015282157289966958,0
