Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TCL_positive_embeddings,0,0,0,0,0.3046875,5.912739427671454e-05,0
TCL_positive_embeddings,1,0,0,0,0.0,0.0,0
TCL_positive_embeddings,2,0,0,0,0.3125,6.064348130929709e-05,0
TCL_positive_embeddings,3,0,0,0,0.3125,6.064348130929709e-05,0
TCL_positive_embeddings,4,0,0,0,0.3125,6.064348130929709e-05,0
TCL_positive_embeddings,5,0,0,0,0.3125,6.064348130929709e-05,0
TCL_positive_embeddings,6,0,0,0,0.296875,5.761130724402097e-05,0
TCL_positive_embeddings,7,0,0,0,0.296875,5.761130724402097e-05,0
TCL_positive_embeddings,8,0,0,0,0.28125,5.457913317841179e-05,0
TCL_positive_embeddings,9,0,0,0,0.28125,5.457913317841179e-05,0
TCL_negative_embeddings,0,0,0,0,6.59375,0.0012795774556281225,0
TCL_negative_embeddings,1,0,0,0,5.8984375,0.0011446457097147311,0
TCL_negative_embeddings,2,0,0,0,4.54296875,0.0008816046095352359,0
TCL_negative_embeddings,3,0,0,0,4.515625,0.0008762983049207529,0
TCL_negative_embeddings,4,0,0,0,6.421875,0.0012462235409080868,0
TCL_negative_embeddings,5,0,0,0,5.58984375,0.0010847602719218363,0
TCL_negative_embeddings,6,0,0,0,6.640625,0.001288673977824506,0
TCL_negative_embeddings,7,0,0,0,3.46484375,0.0006723845990178612,0
TCL_negative_embeddings,8,0,0,0,4.6875,0.0009096522196408996,0
TCL_negative_embeddings,9,0,0,0,3.71875,0.00072165742758179,0
prediction_forward,0,0,0,0,0.00390625,7.580435164022958e-07,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.22265625,4.320848043293246e-05,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.203125,3.9418262851032004e-05,0
loss_computation,5,0,0,0,0.03515625,6.822391647287596e-06,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,3.125,0.000606434813093859,0
backward_pass,1,0,0,0,-3.94140625,-0.0007648659080147224,0
backward_pass,2,0,0,0,-4.76953125,-0.0009255711334845707,0
backward_pass,3,0,0,0,-6.8125,-0.0013220278925447637,0
backward_pass,4,0,0,0,-5.9296875,-0.0011507100578456164,0
backward_pass,5,0,0,0,-6.92578125,-0.001344011154519431,0
backward_pass,6,0,0,0,-3.9609375,-0.0007686561255966229,0
backward_pass,7,0,0,0,-4.96875,-0.0009642313528193114,0
backward_pass,8,0,0,0,-3.9609375,-0.0007686561255965119,0
backward_pass,9,0,0,0,-4.71875,-0.0009157165677718959,0
