Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TCL_positive_embeddings,0,0,0,0,0.0,0.0,0
TCL_positive_embeddings,1,0,0,0,0.00390625,7.580435163467847e-07,0
TCL_positive_embeddings,2,0,0,0,0.0,0.0,0
TCL_positive_embeddings,3,0,0,0,0.0,0.0,0
TCL_positive_embeddings,4,0,0,0,0.00390625,7.580435162912735e-07,0
TCL_positive_embeddings,5,0,0,0,0.0,0.0,0
TCL_positive_embeddings,6,0,0,0,0.0,0.0,0
TCL_positive_embeddings,7,0,0,0,0.0,0.0,0
TCL_positive_embeddings,8,0,0,0,0.0,0.0,0
TCL_positive_embeddings,9,0,0,0,0.0,0.0,0
TCL_negative_embeddings,0,0,0,0,6.98046875,0.0013546237637485081,0
TCL_negative_embeddings,1,0,0,0,5.98828125,0.0011620807105911513,0
TCL_negative_embeddings,2,0,0,0,5.9765625,0.001159806580042111,0
TCL_negative_embeddings,3,0,0,0,4.9921875,0.0009687796139175031,0
TCL_negative_embeddings,4,0,0,0,4.99609375,0.0009695376574339054,0
TCL_negative_embeddings,5,0,0,0,5.015625,0.0009733278750156948,0
TCL_negative_embeddings,6,0,0,0,6.0234375,0.0011689031022384944,0
TCL_negative_embeddings,7,0,0,0,5.9921875,0.0011628387541075536,0
TCL_negative_embeddings,8,0,0,0,3.9921875,0.0007747204737275082,0
TCL_negative_embeddings,9,0,0,0,4.015625,0.0007792687348256444,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.00390625,7.580435164022958e-07,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.0,0.0,0
loss_computation,1,0,0,0,0.00390625,7.58043516457807e-07,0
loss_computation,2,0,0,0,0.0078125,1.5160870327490805e-06,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.00390625,7.58043516457807e-07,0
loss_computation,5,0,0,0,0.0,0.0,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0078125,1.5160870327490805e-06,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,2.87890625,0.0005586780715627904,0
backward_pass,1,0,0,0,-4.984375,-0.0009672635268848651,0
backward_pass,2,0,0,0,-4.828125,-0.00093694178623005,0
backward_pass,3,0,0,0,-4.91015625,-0.0009528607000737765,0
backward_pass,4,0,0,0,-4.91796875,-0.0009543767871066366,0
backward_pass,5,0,0,0,-5.99609375,-0.0011635967976239558,0
backward_pass,6,0,0,0,-5.95703125,-0.001156016362460266,0
backward_pass,7,0,0,0,-3.9921875,-0.0007747204737275082,0
backward_pass,8,0,0,0,-2.79296875,-0.0005420011142026615,0
backward_pass,9,0,0,0,-6.0,-0.0011643548411402471,0
