Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TGN_negative_embeddings,0,0,0,0,0.00390625,7.58043516457807e-07,0
TGN_negative_embeddings,1,0,0,0,0.0,0.0,0
TGN_negative_embeddings,2,0,0,0,0.0,0.0,0
TGN_negative_embeddings,3,0,0,0,0.9453125,0.0001834465309609734,0
TGN_negative_embeddings,4,0,0,0,0.0,0.0,0
TGN_negative_embeddings,5,0,0,0,0.0,0.0,0
TGN_negative_embeddings,6,0,0,0,0.00390625,7.580435164022958e-07,0
TGN_negative_embeddings,7,0,0,0,0.91015625,0.0001766241393136858,0
TGN_negative_embeddings,8,0,0,0,0.0,0.0,0
TGN_negative_embeddings,9,0,0,0,0.0,0.0,0
TGN_positive_embeddings,0,0,0,0,8.984375,0.0017435000876449558,0
TGN_positive_embeddings,1,0,0,0,6.0,0.0011643548411403581,0
TGN_positive_embeddings,2,0,0,0,8.96875,0.0017404679135794576,0
TGN_positive_embeddings,3,0,0,0,6.94140625,0.0013470433285847627,0
TGN_positive_embeddings,4,0,0,0,8.89453125,0.0017260650867684801,0
TGN_positive_embeddings,5,0,0,0,6.9609375,0.0013508335461667187,0
TGN_positive_embeddings,6,0,0,0,8.953125,0.001737435739514015,0
TGN_positive_embeddings,7,0,0,0,7.859375,0.0015251835549310866,0
TGN_positive_embeddings,8,0,0,0,6.9609375,0.0013508335461667187,0
TGN_positive_embeddings,9,0,0,0,7.93359375,0.001539586381742175,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.10546875,2.0467174941918298e-05,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.01171875,2.2741305491513764e-06,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.00390625,7.580435164022958e-07,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0546875,1.0612609229188052e-05,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.078125,1.5160870327379783e-05,0
loss_computation,5,0,0,0,0.0234375,4.548261098080708e-06,0
loss_computation,6,0,0,0,0.0,0.0,0
loss_computation,7,0,0,0,0.1953125,3.7902175818393946e-05,0
loss_computation,8,0,0,0,0.0078125,1.5160870326935694e-06,0
loss_computation,9,0,0,0,0.015625,3.032174065498161e-06,0
backward_pass,0,0,0,0,1.93359375,0.00037523154060187247,0
backward_pass,1,0,0,0,-0.67578125,-0.00013114152833160198,0
backward_pass,2,0,0,0,-0.84765625,-0.00016449544305174868,0
backward_pass,3,0,0,0,-1.7890625,-0.00034718393049615326,0
backward_pass,4,0,0,0,0.12890625,2.5015436040054517e-05,0
backward_pass,5,0,0,0,-0.890625,-0.00017283392173167433,0
backward_pass,6,0,0,0,-1.96875,-0.0003820539322492156,0
backward_pass,7,0,0,0,0.12890625,2.501543604011003e-05,0
backward_pass,8,0,0,0,-0.84375,-0.00016373739953529087,0
backward_pass,9,0,0,0,-0.99609375,-0.00019330109667370365,0
