Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TGN_negative_embeddings,0,0,0,0,0.83203125,0.00016146326898602847,0
TGN_negative_embeddings,1,0,0,0,0.8203125,0.00015918913843704363,0
TGN_negative_embeddings,2,0,0,0,0.0,0.0,0
TGN_negative_embeddings,3,0,0,0,0.78125,0.00015160870327357578,0
TGN_negative_embeddings,4,0,0,0,0.7734375,0.00015009261624066017,0
TGN_negative_embeddings,5,0,0,0,0.765625,0.00014857652920807762,0
TGN_negative_embeddings,6,0,0,0,0.75390625,0.00014630239865887074,0
TGN_negative_embeddings,7,0,0,0,0.01171875,2.274130548984843e-06,0
TGN_negative_embeddings,8,0,0,0,0.76171875,0.00014781848569167533,0
TGN_negative_embeddings,9,0,0,0,0.0,0.0,0
TGN_positive_embeddings,0,0,0,0,6.17578125,0.0011984667993769627,0
TGN_positive_embeddings,1,0,0,0,5.19140625,0.0010074398332522438,0
TGN_positive_embeddings,2,0,0,0,5.98828125,0.0011620807105912068,0
TGN_positive_embeddings,3,0,0,0,6.2109375,0.0012052891910240282,0
TGN_positive_embeddings,4,0,0,0,7.21484375,0.0014001063747305365,0
TGN_positive_embeddings,5,0,0,0,7.21484375,0.0014001063747305365,0
TGN_positive_embeddings,6,0,0,0,6.0390625,0.0011719352763039925,0
TGN_positive_embeddings,7,0,0,0,7.96484375,0.001545650729873116,0
TGN_positive_embeddings,8,0,0,0,6.24609375,0.0012121115826715378,0
TGN_positive_embeddings,9,0,0,0,3.98046875,0.0007724463431783013,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.0,0.0,0
prediction_forward,3,0,0,0,0.01171875,2.274130549095865e-06,0
prediction_forward,4,0,0,0,0.0,0.0,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.01171875,2.2741305492068875e-06,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.015625,3.032174065498161e-06,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.0,0.0,0
loss_computation,0,0,0,0,0.00390625,7.580435162912735e-07,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0,0.0,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.015625,3.032174065498161e-06,0
loss_computation,6,0,0,0,0.19921875,3.866021933485175e-05,0
loss_computation,7,0,0,0,0.0,0.0,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.01953125,3.7902175817894346e-06,0
backward_pass,0,0,0,0,1.94140625,0.00037674762763462155,0
backward_pass,1,0,0,0,-0.6640625,-0.0001288673977823951,0
backward_pass,2,0,0,0,0.16015625,3.107978417116186e-05,0
backward_pass,3,0,0,0,-1.8359375,-0.00035628045269264774,0
backward_pass,4,0,0,0,0.18359375,3.562804526924257e-05,0
backward_pass,5,0,0,0,0.11328125,2.198326197466738e-05,0
backward_pass,6,0,0,0,-0.96484375,-0.00018723674854270733,0
backward_pass,7,0,0,0,0.0703125,1.3644783294464169e-05,0
backward_pass,8,0,0,0,0.10546875,2.0467174941751765e-05,0
backward_pass,9,0,0,0,0.19140625,3.7144132302158184e-05,0
