Component,Call,GPU_Allocated_MB,GPU_Reserved_MB,GPU_Cached_MB,CPU_Used_MB,CPU_Percent,Peak_GPU_MB
TGN_negative_embeddings,0,0,0,0,0.640625,0.00012431913668420336,0
TGN_negative_embeddings,1,0,0,0,0.5703125,0.00011067435338962817,0
TGN_negative_embeddings,2,0,0,0,0.0,0.0,0
TGN_negative_embeddings,3,0,0,0,0.5234375,0.0001015778311932447,0
TGN_negative_embeddings,4,0,0,0,0.4921875,9.551348306224838e-05,0
TGN_negative_embeddings,5,0,0,0,0.0,0.0,0
TGN_negative_embeddings,6,0,0,0,0.44921875,8.717500438226722e-05,0
TGN_negative_embeddings,7,0,0,0,0.4296875,8.338478680047778e-05,0
TGN_negative_embeddings,8,0,0,0,0.0,0.0,0
TGN_negative_embeddings,9,0,0,0,0.40234375,7.807848218577274e-05,0
TGN_positive_embeddings,0,0,0,0,6.30078125,0.0012227241919006149,0
TGN_positive_embeddings,1,0,0,0,6.34765625,0.0012318207140969983,0
TGN_positive_embeddings,2,0,0,0,6.34375,0.001231062670580596,0
TGN_positive_embeddings,3,0,0,0,5.359375,0.0010400357044559883,0
TGN_positive_embeddings,4,0,0,0,5.4375,0.001055196574783368,0
TGN_positive_embeddings,5,0,0,0,4.93359375,0.0009574089611720238,0
TGN_positive_embeddings,6,0,0,0,3.50390625,0.0006799650341815511,0
TGN_positive_embeddings,7,0,0,0,5.40625,0.0010491322266524827,0
TGN_positive_embeddings,8,0,0,0,3.953125,0.0007671400385637073,0
TGN_positive_embeddings,9,0,0,0,2.37890625,0.0004616485014677929,0
prediction_forward,0,0,0,0,0.0,0.0,0
prediction_forward,1,0,0,0,0.0,0.0,0
prediction_forward,2,0,0,0,0.01953125,3.790217581900457e-06,0
prediction_forward,3,0,0,0,0.0,0.0,0
prediction_forward,4,0,0,0,0.015625,3.0321740653871387e-06,0
prediction_forward,5,0,0,0,0.0,0.0,0
prediction_forward,6,0,0,0,0.0,0.0,0
prediction_forward,7,0,0,0,0.0,0.0,0
prediction_forward,8,0,0,0,0.0,0.0,0
prediction_forward,9,0,0,0,0.0,0.0,0
prediction_concat,0,0,0,0,0.0,0.0,0
prediction_concat,1,0,0,0,0.0,0.0,0
prediction_concat,2,0,0,0,0.0,0.0,0
prediction_concat,3,0,0,0,0.0,0.0,0
prediction_concat,4,0,0,0,0.0,0.0,0
prediction_concat,5,0,0,0,0.0,0.0,0
prediction_concat,6,0,0,0,0.0,0.0,0
prediction_concat,7,0,0,0,0.0,0.0,0
prediction_concat,8,0,0,0,0.0,0.0,0
prediction_concat,9,0,0,0,0.1953125,3.7902175818338435e-05,0
loss_computation,0,0,0,0,0.01171875,2.274130549095865e-06,0
loss_computation,1,0,0,0,0.0,0.0,0
loss_computation,2,0,0,0,0.0,0.0,0
loss_computation,3,0,0,0,0.0546875,1.061260922907703e-05,0
loss_computation,4,0,0,0,0.0,0.0,0
loss_computation,5,0,0,0,0.04296875,8.338478680092187e-06,0
loss_computation,6,0,0,0,0.0078125,1.5160870328045917e-06,0
loss_computation,7,0,0,0,0.12109375,2.3499349007360948e-05,0
loss_computation,8,0,0,0,0.0,0.0,0
loss_computation,9,0,0,0,0.0,0.0,0
backward_pass,0,0,0,0,1.9375,0.00037598958411821926,0
backward_pass,1,0,0,0,0.34375,6.670782944029341e-05,0
backward_pass,2,0,0,0,-0.80859375,-0.0001569150078880588,0
backward_pass,3,0,0,0,0.1640625,3.1837827687453135e-05,0
backward_pass,4,0,0,0,0.125,2.4257392523874266e-05,0
backward_pass,5,0,0,0,0.109375,2.1225218458265083e-05,0
backward_pass,6,0,0,0,-1.89453125,-0.0003676511054382381,0
backward_pass,7,0,0,0,0.06640625,1.2886739778172895e-05,0
backward_pass,8,0,0,0,0.20703125,4.017630636754532e-05,0
backward_pass,9,0,0,0,0.05078125,9.854565712785757e-06,0
