Model,Final_Val_Acc,Final_Val_Loss,Best_Val_Acc,Best_Val_Acc_Epoch,Min_Val_Loss,Min_Val_Loss_Epoch,Total_Epochs
LSTM+kan_mammote_dual_kmote,97.5300,0.2298,97.8200,197,0.1002,36,200
LSTM+kan_mammote_full,97.5200,0.2268,97.6800,149,0.0951,27,200
LSTM+kmote_rel_only,97.0100,0.2256,97.3800,119,0.1057,28,200
LSTM+kmote_abs_only,96.5500,0.2893,97.1900,159,0.1242,17,200
LSTM+bochner,96.6500,0.2219,96.7600,160,0.1397,24,200
LSTM+mercer,96.5400,0.2872,96.7500,78,0.1370,17,200
LSTM,96.4100,0.4026,96.4700,191,0.1691,12,200
LSTM+lete,95.0100,0.2139,95.5000,156,0.1599,74,200
LSTM+kan_mammote_lite,84.7300,1.0354,85.6100,92,0.4849,11,200
LSTM+sm_kernel_only,81.0700,1.5073,84.2700,18,0.4860,18,200
LSTM+dual_stream_baseline,81.2900,1.4883,83.9500,22,0.4825,14,200
